+-----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
|  Approach |   Metric  | BC Top-1 | BC Top-5 | BC Top-10 | BC Top-200 | BC Exam | BC Effort | AC Top-1 | AC Top-5 | AC Top-10 | AC Top-200 | AC Exam | AC Effort  | WC Top-1 | WC Top-5 | WC Top-10 | WC Top-200 | WC Exam | WC Effort  |
|  PRFL_DUU | TARANTULA |  $ 0.14  |  $ 0.32  |   $ 0.39  |   $ 0.57   |  $ 0.09 | $ 4249.42 |  $ 0.10  |  $ 0.22  |   $ 0.29  |   $ 0.46   |  $ 0.15 | $ 9994.93  |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.36   |  $ 0.30 | $ 33656.74 |
|           |   OCHIAI  |  $ 0.15  |  $ 0.31  |   $ 0.38  |   $ 0.57   |  $ 0.08 | $ 4255.51 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.46   |  $ 0.15 | $ 10001.29 |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.36   |  $ 0.30 | $ 33656.21 |
|           |     D*    |  $ 0.09  |  $ 0.19  |   $ 0.26  |   $ 0.43   |  $ 0.10 | $ 4571.40 |  $ 0.06  |  $ 0.13  |   $ 0.18  |   $ 0.34   |  $ 0.17 | $ 10279.48 |  $ 0.05  |  $ 0.10  |   $ 0.14  |   $ 0.27   |  $ 0.32 | $ 33866.27 |
|           |   NAISH1  |  $ 0.13  |  $ 0.27  |   $ 0.31  |     0.43   |    0.10 |   4606.27 |  $ 0.10  |  $ 0.20  |   $ 0.23  |     0.34   |    0.16 |   10268.55 |  $ 0.08  |  $ 0.16  |   $ 0.18  |     0.25   |    0.31 |   33891.00 |
|           |   NAISH2  |  $ 0.14  |  $ 0.31  |   $ 0.37  |   $ 0.56   |  $ 0.09 | $ 4247.08 |  $ 0.10  |  $ 0.22  |   $ 0.28  |   $ 0.45   |  $ 0.15 | $ 9986.07  |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.35   |  $ 0.30 | $ 33646.08 |
|           |    GP13   |  $ 0.15  |  $ 0.30  |   $ 0.37  |   $ 0.56   |  $ 0.09 | $ 4247.75 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.45   |  $ 0.15 | $ 9995.96  |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33659.01 |
|  PRFL_ADU | TARANTULA |  $ 0.14  |  $ 0.32  |   $ 0.38  |   $ 0.56   |  $ 0.09 | $ 4249.08 |  $ 0.10  |  $ 0.23  |   $ 0.29  |   $ 0.45   |  $ 0.15 | $ 10000.62 |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.36   |  $ 0.30 | $ 33657.47 |
|           |   OCHIAI  |  $ 0.15  |  $ 0.31  |   $ 0.37  |   $ 0.55   |  $ 0.08 | $ 4255.52 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.45   |  $ 0.15 | $ 10007.34 |  $ 0.09  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33656.68 |
|           |     D*    |  $ 0.09  |  $ 0.19  |   $ 0.26  |   $ 0.42   |  $ 0.10 | $ 4578.10 |  $ 0.06  |  $ 0.13  |   $ 0.18  |   $ 0.34   |  $ 0.17 | $ 10287.07 |  $ 0.05  |  $ 0.10  |   $ 0.14  |   $ 0.26   |  $ 0.32 | $ 33874.28 |
|           |   NAISH1  |  $ 0.14  |  $ 0.27  |   $ 0.30  |     0.43   |    0.10 |   4608.82 |  $ 0.10  |  $ 0.20  |   $ 0.23  |     0.34   |    0.16 |   10267.70 |  $ 0.08  |  $ 0.16  |   $ 0.18  |     0.25   |    0.31 |   33892.62 |
|           |   NAISH2  |  $ 0.14  |  $ 0.31  |   $ 0.37  |   $ 0.55   |  $ 0.09 | $ 4246.27 |  $ 0.10  |  $ 0.22  |   $ 0.28  |   $ 0.45   |  $ 0.15 | $ 9985.06  |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.35   |  $ 0.30 | $ 33646.16 |
|           |    GP13   |  $ 0.15  |  $ 0.30  |   $ 0.35  |   $ 0.55   |  $ 0.09 | $ 4246.15 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.45   |  $ 0.15 | $ 10002.77 |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33657.76 |
| PRFL_ADUU | TARANTULA |  $ 0.14  |  $ 0.32  |   $ 0.39  |   $ 0.57   |  $ 0.09 | $ 4250.24 |  $ 0.11  |  $ 0.22  |   $ 0.29  |   $ 0.46   |  $ 0.15 | $ 9994.36  |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.36   |  $ 0.30 | $ 33656.45 |
|           |   OCHIAI  |  $ 0.15  |  $ 0.31  |   $ 0.37  |   $ 0.57   |  $ 0.08 | $ 4256.13 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.46   |  $ 0.15 | $ 10000.87 |  $ 0.09  |  $ 0.17  |   $ 0.21  |   $ 0.36   |  $ 0.30 | $ 33655.98 |
|           |     D*    |  $ 0.09  |  $ 0.19  |   $ 0.26  |   $ 0.43   |  $ 0.10 | $ 4572.36 |  $ 0.06  |  $ 0.13  |   $ 0.19  |   $ 0.34   |  $ 0.17 | $ 10279.44 |  $ 0.05  |  $ 0.10  |   $ 0.14  |   $ 0.27   |  $ 0.32 | $ 33866.27 |
|           |   NAISH1  |  $ 0.14  |  $ 0.27  |   $ 0.31  |     0.43   |    0.10 |   4607.24 |  $ 0.10  |  $ 0.20  |   $ 0.23  |     0.34   |    0.16 |   10268.06 |  $ 0.08  |  $ 0.16  |   $ 0.18  |     0.25   |    0.31 |   33890.83 |
|           |   NAISH2  |  $ 0.14  |  $ 0.31  |   $ 0.37  |   $ 0.56   |  $ 0.09 | $ 4247.96 |  $ 0.10  |  $ 0.22  |   $ 0.28  |   $ 0.45   |  $ 0.15 | $ 9987.21  |  $ 0.08  |  $ 0.17  |   $ 0.22  |   $ 0.36   |  $ 0.30 | $ 33646.11 |
|           |    GP13   |  $ 0.15  |  $ 0.30  |   $ 0.37  |   $ 0.56   |  $ 0.09 | $ 4248.02 |  $ 0.11  |  $ 0.22  |   $ 0.27  |   $ 0.45   |  $ 0.15 | $ 9994.37  |  $ 0.08  |  $ 0.17  |   $ 0.21  |   $ 0.35   |  $ 0.30 | $ 33658.19 |
+-----------+-----------+----------+----------+-----------+------------+---------+-----------+----------+----------+-----------+------------+---------+------------+----------+----------+-----------+------------+---------+------------+
